,Processed File Name,Group,Year,geoBoundaryType,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Recorder (Name),Last Updated Date
411,NER_ADM1.zip,Niger,2014,Humanitarian,ADM 1,IGNN,United Nations Office for the Coordination of Humanitarian Affairs Niger,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/niger-administrative-boundaries,No,https://data.humdata.org/dataset/niger-administrative-boundaries,,5/25/20
412,NER_ADM2.zip,Niger,2014,Humanitarian,ADM 2,IGNN,United Nations Office for the Coordination of Humanitarian Affairs Niger,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/niger-administrative-boundaries,No,https://data.humdata.org/dataset/niger-administrative-boundaries,,5/25/20
414,NGA_ADM0.zip,Nigeria,2016,Humanitarian,ADM 0,Second Administrative Level Boundaries (SALB),United Nations Office for the Coordination of Humanitarian Affairs Nigeria,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/nga-administrative-boundaries,,https://data.humdata.org/dataset/nga-administrative-boundaries,,5/25/20
415,NGA_ADM1.zip,Nigeria,2016,Humanitarian,ADM 1,Second Administrative Level Boundaries (SALB),United Nations Office for the Coordination of Humanitarian Affairs Nigeria,Other - Direct Permission,Free to copy and redistribute for operational purpose only - Noted in metadata tab,https://data.humdata.org/dataset/nigeria-admin-level-0-1-and-2-administrative-boundaries,No,https://data.humdata.org/dataset/nigeria-admin-level-0-1-and-2-administrative-boundaries,,5/25/20
416,NGA_ADM2.zip,Nigeria,2016,Humanitarian,ADM 2,Second Administrative Level Boundaries (SALB),United Nations Office for the Coordination of Humanitarian Affairs Nigeria,Other - Direct Permission,Free to copy and redistribute for operational purpose only - Noted in metadata tab,https://data.humdata.org/dataset/nigeria-admin-level-0-1-and-2-administrative-boundaries,No,https://data.humdata.org/dataset/nigeria-admin-level-0-1-and-2-administrative-boundaries,,5/25/20
421,PRK_ADM2.zip,North Korea,2016,Humanitarian,ADM 2,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Asia and the Pacific (ROAP),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/dpr-korea-administrative-boundaries,No,https://data.humdata.org/dataset/dpr-korea-administrative-boundaries,,5/25/20
427,OMN_ADM2.zip,Oman,2020,Humanitarian,ADM 2,Oman National Geographic Structure,,Other - Organization Specific,Consists of 5 different images from the ,https://twitter.com/WMgeoLab/status/1253068523166765056,No,http://nsdig2gapps.ncsi.gov.om/nsdiportal/,,5/25/20
430,PAK_ADM2.zip,Pakistan,2015,Authoritative & Humanitarian,ADM 2,Pakistan Census Office,United Nations Office for the Coordination of Humanitarian Affairs Pakistan,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/pakistan-administrative-level-0-1-2-and-3-boundary-polygons-lines-and-central-places,No,https://data.humdata.org/dataset/pakistan-administrative-level-0-1-2-and-3-boundary-polygons-lines-and-central-places,,5/25/20
435,PSE_ADM2.zip,Palestine,2016,Humanitarian,ADM 2,Humdata,,Other - Humanitarian,,https://data.humdata.org/dataset/state-of-palestine-administrative-boundaries,No,https://data.humdata.org/dataset/state-of-palestine-administrative-boundaries,,5/29/20
442,PNG_ADM2.zip,Papua New Guinea,2018,Authoritative & Humanitarian,ADM 2,Papua New Guinea National Statistics Office,OCHA ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/papua-new-guinea-admin-level-0-international-boundaries,No,https://data.humdata.org/dataset/papua-new-guinea-admin-level-0-international-boundaries,,5/25/20
443,PNG_ADM3.zip,Papua New Guinea,2018,Authoritative & Humanitarian,ADM 3,Papua New Guinea National Statistics Office,OCHA ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/papua-new-guinea-admin-level-0-international-boundaries,No,https://data.humdata.org/dataset/papua-new-guinea-admin-level-0-international-boundaries,,5/25/20
449,PER_ADM2.zip,Peru,2009,Authoritative & Humanitarian,ADM 2,Instituto GeogrÃ¡fico Nacional - IGN,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Latin America and the Caribbean (ROLAC),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/limites-de-peru,No,https://data.humdata.org/dataset/limites-de-peru,,5/25/20
450,PHL_ADM0.zip,Philippines,2018,Authoritative & Humanitarian,ADM 0,"National Mapping and Resource Information Authority (NAMRIA), Philippines Statistics Authority (PSA)",OCHA Philippines,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,No,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,,5/25/20
451,PHL_ADM1.zip,Philippines,2018,Authoritative & Humanitarian,ADM 1,"National Mapping and Resource Information Authority (NAMRIA), Philippines Statistics Authority (PSA)",OCHA Philippines,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,No,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,,5/25/20
452,PHL_ADM2.zip,Philippines,2018,Authoritative & Humanitarian,ADM 2,"National Mapping and Resource Information Authority (NAMRIA), Philippines Statistics Authority (PSA)",OCHA Philippines,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,No,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,,5/25/20
453,PHL_ADM3.zip,Philippines,2018,Authoritative & Humanitarian,ADM 3,"National Mapping and Resource Information Authority (NAMRIA), Philippines Statistics Authority (PSA)",OCHA Philippines,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,No,https://data.humdata.org/dataset/philippines-administrative-levels-0-to-3,,5/25/20
468,ROU_ADM0.zip,Romania,2016,Open & Humanitarian,ADM 0,AgenÈ›ia NaÈ›ionalÄƒ de Cadastru È™i Publicitate ImobiliarÄƒ,,Open Data Commons Open Database License 1.0,License on source page. Additional information in linked PDF.,http://data.gov.ro/dataset/unitati-administrative,No,http://data.gov.ro/dataset/unitati-administrative,,5/25/20
469,ROU_ADM1.zip,Romania,2016,Open & Humanitarian,ADM 1,AgenÈ›ia NaÈ›ionalÄƒ de Cadastru È™i Publicitate ImobiliarÄƒ,,Open Data Commons Open Database License 1.0,License on source page. Additional information in linked PDF.,http://data.gov.ro/dataset/unitati-administrative,No,http://data.gov.ro/dataset/unitati-administrative,,5/25/20
470,ROU_ADM2.zip,Romania,2016,Open & Humanitarian,ADM 2,AgenÈ›ia NaÈ›ionalÄƒ de Cadastru È™i Publicitate ImobiliarÄƒ,,Open Data Commons Open Database License 1.0,License on source page. Additional information in linked PDF.,http://data.gov.ro/dataset/unitati-administrative,No,http://data.gov.ro/dataset/unitati-administrative,,5/25/20
478,MDG_ADM4.zip,Madagascar,2017,Humanitarian,ADM 4,United Nations Office for the Coordination of Humanitarian Affairs ROSA,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-boundaries,No,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-boundaries,,5/25/20
489,SEN_ADM0.zip,Senegal,2017,Authoritative & Humanitarian,ADM 0,Government of Senegal,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/senegal-administrative-boundaries,No,https://data.humdata.org/dataset/senegal-administrative-boundaries,,5/25/20
490,SEN_ADM1.zip,Senegal,2017,Authoritative & Humanitarian,ADM 1,Government of Senegal,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/senegal-administrative-boundaries,No,https://data.humdata.org/dataset/senegal-administrative-boundaries,,5/25/20
491,SEN_ADM2.zip,Senegal,2017,Authoritative & Humanitarian,ADM 2,Government of Senegal,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/senegal-administrative-boundaries,No,https://data.humdata.org/dataset/senegal-administrative-boundaries,,5/25/20
492,SEN_ADM3.zip,Senegal,2017,Authoritative & Humanitarian,ADM 3,Government of Senegal,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/senegal-administrative-boundaries,No,https://data.humdata.org/dataset/senegal-administrative-boundaries,,5/25/20
498,SLE_ADM0.zip,Sierra Leone,2017,Authoritative & Humanitarian,ADM 0,Government of Sierra Leone,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,No,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,,5/25/20
499,SLE_ADM1.zip,Sierra Leone,2017,Authoritative & Humanitarian,ADM 1,Government of Sierra Leone,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,No,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,,5/25/20
500,SLE_ADM2.zip,Sierra Leone,2017,Authoritative & Humanitarian,ADM 2,Government of Sierra Leone,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,No,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,,5/25/20
501,SLE_ADM3.zip,Sierra Leone,2017,Authoritative & Humanitarian,ADM 3,Government of Sierra Leone,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,No,https://data.humdata.org/dataset/sierra-leone-all-ad-min-level-boundaries,,5/25/20
519,SOM_ADM0.zip,Somalia,2014,Humanitarian,ADM 0,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/somalia-administrative-boundaries#,,6/18/20
520,SOM_ADM1.zip,Somalia,2014,Humanitarian,ADM 1,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/somalia-administrative-boundaries#,,6/18/20
521,SOM_ADM2.zip,Somalia,2014,Humanitarian,ADM 2,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/somalia-administrative-boundaries#,,6/18/20
534,SSD_ADM0.zip,South Sudan,2014,Authoritative & Humanitarian,ADM 0,"South Sudan Inter Cluster Information Management Working Group (ICIWG), National Bureau of Statistics (NBS)",United Nations Office for the Coordination of Humanitarian Affairs South Sudan,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/south-sudan-administrative-boundaries,No,https://data.humdata.org/dataset/south-sudan-administrative-boundaries,,5/25/20
535,SSD_ADM1.zip,South Sudan,2014,Authoritative & Humanitarian,ADM 1,"South Sudan Inter Cluster Information Management Working Group (ICIWG), National Bureau of Statistics (NBS)",United Nations Office for the Coordination of Humanitarian Affairs South Sudan,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/south-sudan-administrative-boundaries,No,https://data.humdata.org/dataset/south-sudan-administrative-boundaries,,5/25/20
536,SSD_ADM2.zip,South Sudan,2008,Authoritative & Humanitarian,ADM 2,"South Sudan Inter Cluster Information Management Working Group (ICIWG), National Bureau of Statistics (NBS)",United Nations Office for the Coordination of Humanitarian Affairs South Sudan,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/south-sudan-administrative-boundaries,No,https://data.humdata.org/dataset/south-sudan-administrative-boundaries,,5/25/20
543,LKA_ADM3.zip,Sri Lanka,2016,Authoritative & Humanitarian,ADM 3,"The Survey Department of Sri Lanka, National Building Research Organisation (NBRO), Disaster Management Centre (DMC)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Asia and the Pacific (ROAP),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/about/license,No,https://data.humdata.org/dataset/sri-lanka-administrative-levels-0-4-boundaries,,5/25/20
545,KNA_ADM1.zip,St Kitts and Nevis,2020,Humanitarian,ADM1,OCHA,Wikipedia,Other - Humanitarian,Creative Commons Attribution-ShareAlike 3.0 Unported,https://data.humdata.org/about/license,No,https://data.humdata.org/organization/b3a25ac4-ac05-4991-923c-d25f47bef1ec,,5/25/20
552,SDN_ADM2.zip,Sudan,2014,Humanitarian,ADM 2,"CRMA UNDP, ITOS",United Nations Office for the Coordination of Humanitarian Affairs Sudan,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/sudan-administrative-boundaries-levels-0-2,No,https://data.humdata.org/dataset/sudan-administrative-boundaries-levels-0-2,,5/25/20
555,SUR_ADM2.zip,Suriname,2017,Open & Humanitarian,ADM 2,Humanitarian Data Exchange,,Creative Commons Attribution 4.0 International (CC BY 4.0),,https://data.humdata.org/dataset/suriname-administrative-level-0-1-and-2-boundaries,https://data.humdata.org/dataset/suriname-administrative-level-0-1-and-2-boundaries,https://data.humdata.org/dataset/suriname-administrative-level-0-1-and-2-boundaries,,5/25/20
565,CHE_ADM2.zip,Switzerland,2017,Humanitarian,ADM 2,Open Data Swiss,,Non-Commercial Use Only,"Open, non-commercial use",https://opendata.swiss/en/dataset/swisstopo,No,https://opendata.swiss/en/dataset/swisstopo,,5/25/20
566,CHE_ADM3.zip,Switzerland,2017,Humanitarian,ADM 3,Open Data Swiss,,Non-Commercial Use Only,"Open, non-commercial use",https://opendata.swiss/en/dataset/swisstopo,No,https://opendata.swiss/en/dataset/swisstopo,,5/25/20
567,SYR_ADM0.zip,Syria,2017,Humanitarian,ADM 0,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/syrian-arab-republic-administrative-boundaries-populated-places,Sydney Fuhrig,6/25/20
568,SYR_ADM1.zip,Syria,2017,Humanitarian,ADM 1,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/syrian-arab-republic-administrative-boundaries-populated-places,Sydney Fuhrig,6/25/20
571,SYR_ADM2.zip,Syria,2017,Authoritative & Humanitarian,ADM 2,United Nations Cartographic Section (UNCS),United Nations Office for the Coordination of Humanitarian Affairs ROSC,Other - Humanitarian,may not be allowed to redistribute,https://data.humdata.org/about/license,No,https://data.humdata.org/dataset/syrian-arab-republic-administrative-boundaries-populated-places,,5/25/20
572,SYR_ADM3.zip,Syria,2017,Authoritative & Humanitarian,ADM 3,United Nations Cartographic Section (UNCS),United Nations Office for the Coordination of Humanitarian Affairs ROSC,Other - Humanitarian,may not be allowed to redistribute,https://data.humdata.org/about/license,No,https://data.humdata.org/dataset/syrian-arab-republic-administrative-boundaries-populated-places,,5/25/20
585,THA_ADM2.zip,Thailand,2017,Authoritative & Humanitarian,ADM 2,GISTA (Geo-Informatics and Space Technology Development Agency),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/thailand-administrative-boundaries,No,https://data.humdata.org/dataset/thailand-administrative-boundaries,,5/25/20
588,TLS_ADM2.zip,Timor,2018,Humanitarian,ADM 2,HDX,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/timor-leste-administrative-boundaries-levels-0-3,No,https://data.humdata.org/dataset/timor-leste-administrative-boundaries-levels-0-3,,5/25/20
591,TGO_ADM2.zip,Togo,2016,Humanitarian,ADM 2,HDX,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/togo-cod-ab,No,https://data.humdata.org/dataset/togo-cod-ab,,5/25/20
601,TUR_ADM0.zip,Turkey,2017,Authoritative & Humanitarian,ADM 0,General Command of Mapping,Regional IM Working Group - Europe,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/turkey-administrative-boundaries-levels-0-1-2,No,https://data.humdata.org/dataset/turkey-administrative-boundaries-levels-0-1-2,,5/25/20
602,TUR_ADM1.zip,Turkey,2017,Authoritative & Humanitarian,ADM 1,General Command of Mapping,Regional IM Working Group - Europe,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/turkey-administrative-boundaries-levels-0-1-2,No,https://data.humdata.org/dataset/turkey-administrative-boundaries-levels-0-1-2,,5/25/20
603,TUR_ADM2.zip,Turkey,2017,Authoritative & Humanitarian,ADM 2,General Command of Mapping,Regional IM Working Group - Europe,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/turkey-administrative-boundaries-levels-0-1-2,No,https://data.humdata.org/dataset/turkey-administrative-boundaries-levels-0-1-2,,5/25/20
613,UGA_ADM2.zip,Uganda,2016,Humanitarian,ADM 2,IGAD Drought Disaster Resilience & Sustainability Initiative (IDDRSI),United Nations Office for the Coordination of Humanitarian Affairs ROSEA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/uganda-administrative-boundaries-admin-1-admin-3,No,https://data.humdata.org/dataset/uganda-administrative-boundaries-admin-1-admin-3,,5/25/20
616,UKR_ADM2.zip,Ukraine,2017,Humanitarian,ADM 2,SSPE 'Kartographia',United Nations Office for the Coordination of Humanitarian Affairs Ukraine,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/ukraine-administrative-boundaries-as-of-q2-2017,No,https://data.humdata.org/dataset/ukraine-administrative-boundaries-as-of-q2-2017,,5/25/20
617,UKR_ADM3.zip,Ukraine,2017,Humanitarian,ADM 3,SSPE 'Kartographia',United Nations Office for the Coordination of Humanitarian Affairs Ukraine,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/ukraine-administrative-boundaries-as-of-q2-2017,No,https://data.humdata.org/dataset/ukraine-administrative-boundaries-as-of-q2-2017,,5/25/20
629,URY_ADM2.zip,Uruguay,2015,Humanitarian,ADM 2,Sistema De Informacion Territorial MVOTMA,,Non-Commercial Use Only,Non-commercial use only. Original terms of use PDF: http://www.mvotma.gub.uy/component/k2/item/10008955-terminos-y-condiciones-de-uso,https://twitter.com/WMgeoLab/status/1192504995502968836,No,http://sit.mvotma.gub.uy/,,5/25/20
641,VNM_ADM0.zip,Vietnam,2016,Humanitarian,ADM 0,Open Development Mekong,Dept of Survey and Mapping,Non-Commercial Use Only,"Free to copy, adapt, redistribute data for non-commercial use",https://vietnam.opendevelopmentmekong.net/terms-of-use/,No,https://vietnam.opendevelopmentmekong.net/dataset?id=a-phn-tnh,,5/25/20
642,VNM_ADM1.zip,Vietnam,2016,Humanitarian,ADM 1,Open Development Mekong,Dept of Survey and Mapping,Non-Commercial Use Only,"Free to copy, adapt, redistribute data for non-commercial use",https://vietnam.opendevelopmentmekong.net/terms-of-use/,No,https://vietnam.opendevelopmentmekong.net/dataset?id=a-phn-tnh,,5/25/20
643,VNM_ADM2.zip,Vietnam,2016,Humanitarian,ADM 2,Open Development Mekong,Dept of Survey and Mapping,Non-Commercial Use Only,"Free to copy, adapt, redistribute data for non-commercial use",https://vietnam.opendevelopmentmekong.net/terms-of-use/,No,https://vietnam.opendevelopmentmekong.net/dataset?id=a-phn-huyn,,5/25/20
644,YEM_ADM0.zip,Yemen,2019,Humanitarian,ADM 0,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/yemen-admin-boundaries,Sydney Fuhrig,6/25/20
645,YEM_ADM1.zip,Yemen,2019,Humanitarian,ADM 1,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/yemen-admin-boundaries,Sydney Fuhrig,6/25/20
646,YEM_ADM2.zip,Yemen,2019,Humanitarian,ADM 2,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/yemen-admin-boundaries,Sydney Fuhrig,6/25/20
647,YEM_ADM3.zip,Yemen,2019,Humanitarian,ADM 3,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/yemen-admin-boundaries,Sydney Fuhrig,6/25/20
650,YEM_ADM2.zip,Yemen,2015,Authoritative & Humanitarian,ADM 2,Yemen Ministry of Local Administration/Central Statistical Organization,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/yemen-admin-boundaries,No,https://data.humdata.org/dataset/yemen-admin-boundaries,,5/25/20
651,ZMB_ADM0.zip,Zambia,2012,Authoritative & Humanitarian,ADM 0,ISCGM; Zambia CSO,United Nations Office for the Coordination of Humanitarian Affairs ROSA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/zambia-administrative-boundaries-level-1-provinces-and-level-2-districts-with-census-2010-population,No,https://data.humdata.org/dataset/zambia-administrative-boundaries-level-1-provinces-and-level-2-districts-with-census-2010-population,,5/25/20
652,ZMB_ADM1.zip,Zambia,2012,Authoritative & Humanitarian,ADM 1,ISCGM; Zambia CSO,United Nations Office for the Coordination of Humanitarian Affairs ROSA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/zambia-administrative-boundaries-level-1-provinces-and-level-2-districts-with-census-2010-population,No,https://data.humdata.org/dataset/zambia-administrative-boundaries-level-1-provinces-and-level-2-districts-with-census-2010-population,,5/25/20
653,ZMB_ADM2.zip,Zambia,2012,Authoritative & Humanitarian,ADM 2,ISCGM; Zambia CSO,United Nations Office for the Coordination of Humanitarian Affairs ROSA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/zambia-administrative-boundaries-level-1-provinces-and-level-2-districts-with-census-2010-population,No,https://data.humdata.org/dataset/zambia-administrative-boundaries-level-1-provinces-and-level-2-districts-with-census-2010-population,,5/25/20
654,ZWE_ADM0.zip,Zimbabwe,2015,Authoritative & Humanitarian,ADM 0,Zimbabwe Central Statistics Office (ZimStat),United Nations Office for the Coordination of Humanitarian Affairs ROSA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-3-boundaries,No,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-3-boundaries,,5/25/20
655,ZWE_ADM1.zip,Zimbabwe,2015,Authoritative & Humanitarian,ADM 1,Zimbabwe Central Statistics Office (ZimStat),United Nations Office for the Coordination of Humanitarian Affairs ROSA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-3-boundaries,No,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-3-boundaries,,5/25/20
656,ZWE_ADM2.zip,Zimbabwe,2015,Authoritative & Humanitarian,ADM 2,Zimbabwe Central Statistics Office (ZimStat),United Nations Office for the Coordination of Humanitarian Affairs ROSA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-3-boundaries,No,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-3-boundaries,,5/25/20
